---------------  ------------------
Click Element:   MIX
Test PCAP        speedtestMIX4.pcap
Click PCAP       Raw
Size Click PCAP  274071143
Details:         89TCP Connections
Total Packets:   244233
---------------  ------------------

**Note: If TCP Dst IP DNS did not resolve it was not added in this table***
   No.  Host                                               IP                 Total Frames    Total Bytes    Relative Start    Duration
    54  lsanca-speedtest-02.socal.rr.com                   142.129.0.67                  6            416            25.048        0.26
    55  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  6            416            25.15         0.16
    56  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  6            416            25.15         0.16
    57  N\A                                                151.101.1.140                 6            449            25.168        0.13
    57  N\A                                                151.101.1.140                 6            449            25.168        0.13
    57  N\A                                                151.101.1.140                 6            449            25.168        0.13
    57  lax28s10-in-f14.1e100.net                          172.217.5.206                 5            376            25.168        0.13
    58  N\A                                                17.249.28.18                  4            546            13.355        0.02
    58  N\A                                                151.101.1.140                 4            670            21.552        0.85
    58  lax28s10-in-f1.1e100.net                           172.217.5.193                 3            198             5.324        0.02
    59  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  3            206            25.149        0.15
    60  ec2-50-112-169-77.us-west-2.compute.amazonaws.com  50.112.169.77                 3            206            29.749        0.03
    61  ec2-50-112-169-77.us-west-2.compute.amazonaws.com  50.112.169.77                 3            206            29.749        0.1
    62  ec2-50-112-169-77.us-west-2.compute.amazonaws.com  50.112.169.77                 3            206            29.752        0.15
    63  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  3            206            32.023        0.21
    64  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  3            206            32.023        0.21
    65  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  3            206            32.023        0.21
    66  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  3            206            32.023        0.21
    67  lsanca-speedtest-01.socal.rr.com                   142.129.0.65                  3            206            32.024        0.21

---------------  ------------------
Click Element:   MIX
Test PCAP        speedtestMIX4.pcap
Click PCAP       Unshaped
Size Click PCAP  274071143
Details:         0TCP Connections
Total Packets:   0
---------------  ------------------

**Note: If TCP Dst IP DNS did not resolve it was not added in this table***
No Shaped Files


